voc_id,building_id,voc_date,title,request_contents,building_floor_name,zone_name,reply,reply_write_date,user_group_name,reply_writer,title_clean,all_text,ì£¼ì œ ëŒ€ë¶„ë¥˜,ì£¼ì œ ì¤‘ë¶„ë¥˜,ìž‘ì—…ìœ í˜• ëŒ€ë¶„ë¥˜,ìž‘ì—…ìœ í˜• ì¤‘ë¶„ë¥˜,ì£¼ì œ_score,ìž‘ì—…ìœ í˜•_score,run_id,tagged_at
7282,307,2025-12-01 08:58:00,전등교체 전체적으로 요청드립니다.,전등교체 전체적으로 요청 드립니다.,23F,IQVIA_리셉션,오후에  조치하겠습니다,2025-12-01 09:11:16.392821,전기팀,임현철,전등교체 전체적으로 요청드립니다.,전등교체 전체적으로 요청 드립니다. 전등교체 전체적으로 요청드립니다. 오후에 조치하겠습니다,시설,전기/조명,작업,교체,6.264,12.528,auto_20260114_154254,2026-01-14T15:42:56.567062+09:00
7287,307,2025-12-01 09:51:00,14층 복도 등 조치 부탁드립니다,14층 복도 등 조치 부탁드립니다,14F,KPR_로비B,조치하겠습니다,2025-12-01 09:53:24.683565,전기팀,임현철,14층 복도 등 조치 부탁드립니다,14층 복도 등 조치 부탁드립니다 14층 복도 등 조치 부탁드립니다 조치하겠습니다,기타,기타,기타,기타,0.0,0.0,auto_20260114_154254,2026-01-14T15:42:56.567062+09:00
7293,307,2025-12-01 15:28:00,21층 박영옥 여사님 칭찬합니다,"21층 한국건강가정진흥원 경영관리부 조원일입니다 
다름이 아니라 어디에다 글을 올려야할지 몰라서 칭찬의글을 이곳에 올립니다 
현재 저희기관의 청소담당이신 21층 여사님을 칭찬하고 싶습니다 새벽에 나오셔서 화장실과 사무공간을 먼지하나 없이 청소해주시고 지저분한 쓰레기배출도 군말없이 처리해주시는 그모습에 적잖이 감동을 받았습니다
저희부서의 업무의 성격상 직원들의 내부민원도 경영평가에 반영되는지라 직원들이 근무환경이 청결해졌다고 이구동성으로 얘기하는터에 부서의 만족도도 한층 올라간점은 주지의 사실입니다
다시 한 번 박영옥 여사님께 이자릴 빌어 감사함을 담아 전합니다",21F,가정진흥원_경영기획본부,<p>소중한 의견 감사합니다.</p><p>관련 부서에 의견 전달하겠습니다</p>,2025-12-01 16:25:29.620253,기계팀,이종근,21층 박영옥 여사님 칭찬합니다,21층 한국건강가정진흥원 경영관리부 조원일입니다 다름이 아니라 어디에다 글을 올려야할지 몰라서 칭찬의글을 이곳에 올립니다 현재 저희기관의 청소담당이신 21층 여사님을 칭찬하고 싶습니다 새벽에 나오셔서 화장실과 사무공간을 먼지하나 없이 청소해주시고 지저분한 쓰레기배출도 군말없이 처리해주시는 그모습에 적잖이 감동을 받았습니다 저희부서의 업무의 성격상 직원들의 내부민원도 경영평가에 반영되는지라 직원들이 근무환경이 청결해졌다고 이구동성으로 얘기하는터에 부서의 만족도도 한층 올라간점은 주지의 사실입니다 다시 한 번 박영옥 여사님께 이자릴 빌어 감사함을 담아 전합니다 21층 박영옥 여사님 칭찬합니다 소중한 의견 감사합니다. 관련 부서에 의견 전달하겠습니다,환경,청결/미화,청소/정리,청소/정리,5.13,6.75,auto_20260114_154254,2026-01-14T15:42:56.567062+09:00
7310,307,2025-12-03 09:59:00,진실화해위원회 5층 사무실 불편사항,"1.  사무실 내 전등이 꺼져있는데가 많아서 교체 필요함

2. 사무실이 너무 추워서 난방이 좀 더 ㄷ외어야할것같음",5F,여자화장실G,<p>확인 후 조치하겠습니다</p>,2025-12-03 10:04:46.481249,전기팀,임현철,진실화해위원회 5층 사무실 불편사항,1. 사무실 내 전등이 꺼져있는데가 많아서 교체 필요함 2. 사무실이 너무 추워서 난방이 좀 더 외어야할것같음 진실화해위원회 5층 사무실 불편사항 확인 후 조치하겠습니다,시설,냉난방/공조,작업,설정/제어,6.24,6.24,auto_20260114_154254,2026-01-14T15:42:56.567062+09:00
7314,307,2025-12-03 13:16:00,온수,세면대 물이 너무 차갑습니다. 세면대 물 온도를 조금만 더 높여주세요,19F,남자화장실A,확인 후 조치하겠습니다.,2025-12-03 13:48:29.417207,기계팀,이종근,온수,세면대 물이 너무 차갑습니다. 세면대 물 온도를 조금만 더 높여주세요 온수 확인 후 조치하겠습니다.,시설,급배수/위생,작업,교체,5.255,3.575,auto_20260114_154254,2026-01-14T15:42:56.567062+09:00
7325,307,2025-12-04 13:56:00,15층 삼성화재금융서비스,"너무 더워요 온도 조절이
좀 필요해요",15F,삼성화재_고객상담실,확인 후 조치하겠습니다.,2025-12-04 14:25:21.053496,기계팀,이종근,15층 삼성화재금융서비스,너무 더워요 온도 조절이 좀 필요해요 15층 삼성화재금융서비스 확인 후 조치하겠습니다.,시설,냉난방/공조,작업,설정/제어,7.5,7.5,auto_20260114_154254,2026-01-14T15:42:56.567062+09:00
7333,307,2025-12-05 09:12:00,전등교체 요청드립니다.,전등교체 전체적으로 부탁드려요,23F,IQVIA_리셉션,조치하겠습니다 ,2025-12-05 09:39:02.113515,전기팀,임현철,전등교체 요청드립니다.,전등교체 전체적으로 부탁드려요 전등교체 요청드립니다. 조치하겠습니다,시설,전기/조명,작업,교체,3.24,6.48,auto_20260114_154254,2026-01-14T15:42:56.567062+09:00
7334,307,2025-12-05 09:45:00,화장실,화장실 첫번째칸이 막혀있어요.,10F,남자화장실A,통수후 세정하였습니다,2025-12-05 10:19:58.268497,미화팀,김남규,화장실,화장실 첫번째칸이 막혀있어요. 화장실 통수후 세정하였습니다,환경,청결/미화,청소/정리,청소/정리,9.81,6.7860000000000005,auto_20260114_154254,2026-01-14T15:42:56.567062+09:00
7335,307,2025-12-05 09:48:00,옆칸이 더러워요,옆칸변기가 더럽고 15층 여자화장실 첫번째칸이 막혀있어요.,1F,여자화장실D,"1층 바닥 세정하였으며, 15층 통수후 세정하였습니다",2025-12-05 10:29:18.821401,미화팀,김남규,옆칸이 더러워요,"옆칸변기가 더럽고 15층 여자화장실 첫번째칸이 막혀있어요. 옆칸이 더러워요 1층 바닥 세정하였으며, 15층 통수후 세정하였습니다",환경,청결/미화,청소/정리,청소/정리,8.67,5.3100000000000005,auto_20260114_154254,2026-01-14T15:42:56.567062+09:00
7337,307,2025-12-05 10:58:00,변기가 막혔어요,변기가 막혔어요 ㅜㅜ,12F,남자화장실C,통수후 세정하였습니다.,2025-12-05 11:22:43.126090,미화팀,김남규,변기가 막혔어요,변기가 막혔어요 변기가 막혔어요 통수후 세정하였습니다.,시설,급배수/위생,기타,기타,7.199999999999999,0.0,auto_20260114_154254,2026-01-14T15:42:56.567062+09:00
7338,307,2025-12-05 11:07:00,첫번째 변기 막혔어요,변기 막혀있어서 ㅠ 메모지 붙여놨어요,12F,여자화장실A,통수후 세정하였습니다 ,2025-12-05 11:23:12.665983,미화팀,김남규,첫번째 변기 막혔어요,변기 막혀있어서 메모지 붙여놨어요 첫번째 변기 막혔어요 통수후 세정하였습니다,시설,급배수/위생,기타,기타,7.199999999999999,0.0,auto_20260114_154254,2026-01-14T15:42:56.567062+09:00
